BOOKSELLER_CATEGORY,AUTHOR,TITLE,SERIES,VOLUME,PUB_DATE,EXTENT,CLOTH_ISBN,CLOTH_PRICE,PAPER_ISBN,PAPER_PRICE,ELECTRONIC_ISBN,ELECTRONIC_PRICE,URL
MANA Management and Organization Studies,,The Lancaster House Competition Policy Enquiry,,,4/30/1988,,978-1-85396-034-5,£87.00,,,,,http://www.uk.sagepub.com/books/Book229633
,,Health and Safety in Laboratory Animal Facilities,Laboratory Animal Handbooks,,1/30/1999,249 pages,,,978-1-85315-421-8,£36.99,,,http://www.uk.sagepub.com/books/Book242190
EDUC Primary and Secondary Education,,Reflections on Starting Strong: A New Teacher's Journal,,,6/30/2005,64 pages,,,978-1-57517-915-5,£7.99,,,http://www.uk.sagepub.com/books/Book228680
EDUC Primary and Secondary Education,,Elementary Teacher Induction Kit (2005/2006),,,9/15/2005,,,,978-1-4129-3626-2,£77.00,,,http://www.uk.sagepub.com/books/Book229094
EDUC Primary and Secondary Education,,Special Education Induction Kit (2005/2006),,,9/15/2005,,,,978-1-4129-3624-8,£81.00,,,http://www.uk.sagepub.com/books/Book229096
EDUC Primary and Secondary Education,,Beginning Teacher Induction Kit (2005/2006),,,12/6/2005,,,,978-1-4129-3627-9,£74.00,,,http://www.uk.sagepub.com/books/Book229093
EDUC Primary and Secondary Education,,Secondary Teacher Induction Kit (2005/2006),,,12/6/2005,,,,978-1-4129-3625-5,£77.00,,,http://www.uk.sagepub.com/books/Book229095
EDUC Primary and Secondary Education,,Complete Teacher Induction Bookshelf (2005/2006),,,3/21/2006,,978-1-4129-3630-9,£290.00,,,,,http://www.uk.sagepub.com/books/Book229097
WOME Women's and Gender Studies,,FEMINIST PERSPECTIVES ON COMMUNICATION ANDDEVELOPMENT,Feminist Perspective on Communication,,9/30/2006,,978-0-7619-0604-9,£42.99,978-0-7619-0605-6,,,,http://www.uk.sagepub.com/books/Book230160
ENVI Environmental Studies,,Encyclopedia of World Geography,,,7/31/2009,,978-1-4833-5155-1,,,,,,http://www.uk.sagepub.com/books/Book230758
POLI Politics and International Relations,,2010 Federal Staff Directory/Summer 63e,,,3/31/2010,,,,978-0-87289-452-5,£225.00,,,http://www.uk.sagepub.com/books/Book237091
POLI Politics and International Relations,,CQ Almanac 2009,,,12/31/2010,,978-1-4833-1897-4,£345.00,,,,,http://www.uk.sagepub.com/books/Book237089
POLI Politics and International Relations,,2011 Congressional Staff Directory/Spring 90e,,,5/22/2011,,,,978-0-87289-617-8,£236.00,,,http://www.uk.sagepub.com/books/Book237122
POLI Politics and International Relations,,2011 Federal Staff Directory/Summer 66e,,,6/14/2011,1712 pages,,,978-0-87289-632-1,£236.00,,,http://www.uk.sagepub.com/books/Book237119
POLI Politics and International Relations,,2011 Congressional Staff Directory/Summer 91e,,,8/14/2011,1344 pages,,,978-0-87289-618-5,£236.00,,,http://www.uk.sagepub.com/books/Book237123
POLI Politics and International Relations,,2011 Federal Staff Directory/Fall 67e,,,10/31/2011,1712 pages,,,978-0-87289-633-8,,,,http://www.uk.sagepub.com/books/Book237120
POLI Politics and International Relations,,2011 Congressional Staff Directory/Fall 92e,,,11/30/2011,1360 pages,,,978-0-87289-619-2,,,,http://www.uk.sagepub.com/books/Book237124
POLI Politics and International Relations,,CQ Researcher Remembering 9/11,,,11/30/2011,1200 pages,,,978-1-4522-3531-8,£9.99,,,http://www.uk.sagepub.com/books/Book238869
POLI Politics and International Relations,,CQ Almanac 2010,,,12/31/2011,,978-1-4833-1898-1,£345.00,,,,,http://www.uk.sagepub.com/books/Book237136
MANA Management and Organization Studies,Bijapurkar R,Customer in the Boardroom?,,,3/5/2012,256 pages,978-8-13-210635-7,£30.00,978-9-35-150937-0,£12.99,978-8-13-210984-6,£10.00,http://www.uk.sagepub.com/books/Book236996
EDUC Primary and Secondary Education,,The Primary PGCE Professional Studies Reader,,,9/25/2012,800 pages,,,978-1-4462-6861-2,£40.00,978-1-4462-7120-9,,http://www.uk.sagepub.com/books/Book240531
CRIM Criminology,,An Introduction to Criminology and Theories of Criminal Behaviour,,,10/1/2012,928 pages,,,978-1-4462-6862-9,£45.99,978-1-4462-7132-2,,http://www.uk.sagepub.com/books/Book240530
MANA Management and Organization Studies,Kumar V,Profitable Customer Engagement,,,11/28/2012,340 pages,978-8-13-211340-9,£38.00,,,978-8-13-211781-0,£30.00,http://www.uk.sagepub.com/books/Book242207
,,UniSIM Reader for Cross-cultural Intelligence,,,12/5/2012,424 pages,978-1-4462-7112-4,,978-1-4462-7113-1,£32.00,,,http://www.uk.sagepub.com/books/Book240692
POLI Politics and International Relations,,Illinois State Reference Material,,,12/15/2012,,,,978-1-4522-2865-5,,,,http://www.uk.sagepub.com/books/Book240720
MANA Management and Organization Studies,,Developing Effective Leadership and Management,,,12/31/2012,416 pages,978-0-85702-895-2,£34.99,,,,,http://www.uk.sagepub.com/books/Book235952
POLI Politics and International Relations,,CQ Researcher Bound Volume 2011,,,1/31/2013,,978-1-4522-8011-0,,,,,,http://www.uk.sagepub.com/books/Book240890
POLI Politics and International Relations,,Worldwide Government Directory with Intergovernmental Organizations,,,1/31/2013,,,,978-1-4522-8013-4,£360.00,,,http://www.uk.sagepub.com/books/Book240892
POLI Politics and International Relations,,Federal Staff Directory Summer 2014: 75th,,,6/30/2013,,,,978-0-87289-641-3,£255.00,,,http://www.uk.sagepub.com/books/Book240197
MANA Management and Organization Studies,Mahajan G,Customer Value Investment,,,12/31/2007,212 pages,,,978-0-7619-3604-6,£14.99,978-8-17-829985-3,£12.00,http://www.uk.sagepub.com/books/Book232802
STAT Statistics and Mathematical Methods,,QASS 2012 Top Up Package Volumes 167-171,Quantitative Applications in the Social Sciences,,8/27/2013,,,,978-1-4833-0340-6,£50.00,,,http://www.uk.sagepub.com/books/Book241810
STAT Statistics and Mathematical Methods,,QASS Series Complete Set Vol 1-171,Quantitative Applications in the Social Sciences,,9/12/2013,,,,978-1-4522-9978-5,,,,http://www.uk.sagepub.com/books/Book241523
MANA Management and Organization Studies,,Consumer Behaviour: Second Edition,,,10/31/2013,352 pages,,,978-8-13-211362-1,,,,http://www.uk.sagepub.com/books/Book242405
DEVE Development Studies,,Research for Development: Second Edition,,,10/31/2013,,,,978-8-13-211364-5,,,,http://www.uk.sagepub.com/books/Book242406
,Niyogi S,Lean Customer Engagement,,,9/30/2016,204 pages,,,978-9-38-598518-8,£12.99,978-9-38-598519-5,£10.00,http://www.uk.sagepub.com/books/Book253422
MANA Management and Organization Studies,Rao A & Chandra S,The Little Book of Big Customer Satisfaction Measurement,,,1/15/2013,180 pages,,,978-8-13-210978-5,£12.99,978-8-13-211145-0,£10.00,http://www.uk.sagepub.com/books/Book240431
MANA Management and Organization Studies,SAGE S,Customer Is King,SAGE Value Pack,,9/30/2011,556 pages,,,978-8-13-210863-4,,,,http://www.uk.sagepub.com/books/Book241206
POLI Politics and International Relations,,Congressional Staff Directory Spring 2014: 99th,,,5/31/2014,,,,978-0-87289-626-0,£258.00,,,http://www.uk.sagepub.com/books/Book240200
POLI Politics and International Relations,,National Geographic Compact Atlas of the World,,,6/30/2014,,,,978-1-4833-6970-9,£12.99,,,http://www.uk.sagepub.com/books/Book244320
STAT Statistics and Mathematical Methods,,Discovering Statistics using IBM SPSS Statistics: Fourth Edition,,,7/31/2014,,,,978-9-35-150082-7,,,,http://www.uk.sagepub.com/books/Book245090
POLI Politics and International Relations,,Federal Staff Directory Fall 2014: 76th,,,8/31/2014,,,,978-0-87289-642-0,£258.00,,,http://www.uk.sagepub.com/books/Book240198
COMM Communication and Media Studies,,Legends in Marketing,,,8/31/2014,,978-8-13-211971-5,,,,,,http://www.uk.sagepub.com/books/Book244215
ENVI Environmental Studies,,ICRP PUBLICATION 126,Annals of the ICRP,,11/19/2014,,,,978-1-4739-1658-6,£132.00,,,http://www.uk.sagepub.com/books/Book245658
POLI Politics and International Relations,,Federal Staff Directory Winter 2015: 77th,,,2/28/2015,,,,978-0-87289-643-7,£250.00,,,http://www.uk.sagepub.com/books/Book240199
COMM Communication and Media Studies,,Pathfinders: A Journey through India’s Art and Culture,,,2/28/2015,,,,978-9-35-150294-4,,,,http://www.uk.sagepub.com/books/Book247406
COMM Communication and Media Studies,,Pathfinders: A Journey through India’s Art and Culture,,,2/28/2015,,,,978-9-35-150299-9,,,,http://www.uk.sagepub.com/books/Book247411
COMM Communication and Media Studies,,Pathfinders: A Journey through India’s Art and Culture,,,2/28/2015,,,,978-9-35-150295-1,,,,http://www.uk.sagepub.com/books/Book247407
COMM Communication and Media Studies,,Pathfinders: A Journey through India’s Art and Culture,,,2/28/2015,,,,978-9-35-150296-8,,,,http://www.uk.sagepub.com/books/Book247408
COMM Communication and Media Studies,,Pathfinders: A Journey through India’s Art and Culture,,,2/28/2015,,,,978-9-35-150297-5,,,,http://www.uk.sagepub.com/books/Book247409
COMM Communication and Media Studies,,Pathfinders: A Journey through India’s Art and Culture,,,2/28/2015,,,,978-9-35-150298-2,,,,http://www.uk.sagepub.com/books/Book247410
EDUC Primary and Secondary Education,,Using Edu-tainment for Distance Education,,,5/31/2015,,,,978-9-35-150170-1,,978-9-35-150171-8,,http://www.uk.sagepub.com/books/Book245817
,,New Books Listing & Order Form September 2015 - February 2016,,,7/15/2015,,,,978-1-4739-4833-4,,,,http://www.uk.sagepub.com/books/Book249833
,,Being SAGE,,,7/31/2015,336 pages,,,978-1-5063-1701-4,,,,http://www.uk.sagepub.com/books/Book248102
,,Campus to Corporate,,,7/31/2015,,,,978-9-35-150657-7,,,,http://www.uk.sagepub.com/books/Book249899
,,Gesturism Art,,,7/31/2015,,978-9-35-150727-7,,,,,,http://www.uk.sagepub.com/books/Book250122
,,MODERN INDIAN POLITICAL THOUGHT,,,8/31/2015,,,,978-9-35-150608-9,,978-9-35-150609-6,,http://www.uk.sagepub.com/books/Book249371
,,ONE LITTLE FINGER,,,8/31/2015,,,,978-9-35-150610-2,,978-9-35-150611-9,,http://www.uk.sagepub.com/books/Book249372
,,THE LOST YEARS OF RSS,,,8/31/2015,,,,978-9-35-150612-6,,978-9-35-150613-3,,http://www.uk.sagepub.com/books/Book249373
,,DALITS IN INDIA,,,8/31/2015,,,,978-9-35-150614-0,,978-9-35-150615-7,,http://www.uk.sagepub.com/books/Book249374
,,DALITS IDENTITY AND POLITICS,,,8/31/2015,,978-9-35-150616-4,,,,978-9-35-150617-1,,http://www.uk.sagepub.com/books/Book249375
,,SOCIAL MOVEMENT AND THE STATE,,,8/31/2015,,,,978-9-35-150618-8,,978-9-35-150619-5,,http://www.uk.sagepub.com/books/Book249376
,,SOCIAL MOVEMENTS IN INDIA,,,8/31/2015,,,,978-9-35-150620-1,,978-9-35-150621-8,,http://www.uk.sagepub.com/books/Book249377
,,Successful Qualitative Research,,,9/30/2015,,,,978-9-35-150663-8,,,,http://www.uk.sagepub.com/books/Book250060
,,International Politics,,,9/30/2015,,,,978-9-35-150681-2,,,,http://www.uk.sagepub.com/books/Book250075
,,Impact,,,10/31/2015,48 pages,,,978-1-5063-0530-1,,,,http://www.uk.sagepub.com/books/Book246183
,,Research Design: Fourth Edition,,,10/31/2015,,,,978-9-35-150666-9,,,,http://www.uk.sagepub.com/books/Book250063
,,Lost Years of RSS,,,10/31/2015,,,,978-9-35-150691-1,,,,http://www.uk.sagepub.com/books/Book250080
,,Public Administration in a Globalizing World,,,11/30/2015,,,,978-9-35-150669-0,,,,http://www.uk.sagepub.com/books/Book250069
,,Buddhism in India,,,12/31/2015,,,,978-9-35-150675-1,,,,http://www.uk.sagepub.com/books/Book250072
